reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
GROW,ROAN,RAOU,"{'mean_confidence': 0.9533669948577881, 'min_confidence': 0.4611932039260864, 'max_confidence': 0.999123752117157}","{'mean_confidence': 0.9714683294296265, 'min_confidence': 0.5779567956924438, 'max_confidence': 0.9998573064804077}",1.5,1.428125,1.0,1.0,"{'original_duration': 1.5, 'adjusted_duration': 1.428125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.26025, 'total_adjusted_duration': 1.3657672714124476, 'tempo_ratio': 0.922741397}, 'gcl': {'count': 1, 'total_original_duration': 1.149625, 'total_adjusted_duration': 1.092715192949888, 'tempo_ratio': 1.052081098}, 'g': {'count': 1, 'total_original_duration': 0.1703125, 'total_adjusted_duration': 0.14593956069551717, 'tempo_ratio': 1.167007076}, 'r': {'count': 1, 'total_original_duration': 0.2299375, 'total_adjusted_duration': 0.20742443617660852, 'tempo_ratio': 1.108536218}, 'ow': {'count': 1, 'total_original_duration': 1.3071875, 'total_adjusted_duration': 1.1906133210254506, 'tempo_ratio': 1.097911032}}}",0006.wav
FEED,HED,HED,"{'mean_confidence': 0.9302043914794922, 'min_confidence': 0.4361167848110199, 'max_confidence': 0.9999547004699707}","{'mean_confidence': 0.9227403402328491, 'min_confidence': 0.2570524215698242, 'max_confidence': 0.9998874664306641}",1.05,0.9573125,1.0,1.0,"{'original_duration': 1.05, 'adjusted_duration': 0.9573125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 0.6706875000000001, 'total_adjusted_duration': 0.726842322432403, 'tempo_ratio': 0.922741397}, 'f': {'count': 1, 'total_original_duration': 0.56625, 'total_adjusted_duration': 0.47865142862324794, 'tempo_ratio': 1.183011198}, 'iy': {'count': 1, 'total_original_duration': 1.207125, 'total_adjusted_duration': 0.9556163228009296, 'tempo_ratio': 1.263190018}, 'dcl': {'count': 1, 'total_original_duration': 0.172875, 'total_adjusted_duration': 0.16495979156250404, 'tempo_ratio': 1.047982653}, 'd': {'count': 1, 'total_original_duration': 0.26225, 'total_adjusted_duration': 0.2146035628832931, 'tempo_ratio': 1.222020718}}}",0007.wav
ALPHA,IL POR,OH FOR,"{'mean_confidence': 0.8943043351173401, 'min_confidence': 0.3830380439758301, 'max_confidence': 0.9999397993087769}","{'mean_confidence': 0.9012606143951416, 'min_confidence': 0.42380020022392273, 'max_confidence': 0.9999363422393799}",1.35,1.2725,2.0,2.0,"{'original_duration': 1.35, 'adjusted_duration': 1.2725, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.103625, 'total_adjusted_duration': 1.1960284903095117, 'tempo_ratio': 0.922741397}, 'ae': {'count': 1, 'total_original_duration': 0.7089375, 'total_adjusted_duration': 0.5660400385035376, 'tempo_ratio': 1.252451155}, 'l': {'count': 1, 'total_original_duration': 0.264375, 'total_adjusted_duration': 0.21847675146266643, 'tempo_ratio': 1.210082987}, 'f': {'count': 2, 'total_original_duration': 0.87375, 'total_adjusted_duration': 0.7385813435047468, 'tempo_ratio': 1.183011198}, 'ah': {'count': 1, 'total_original_duration': 0.7510625, 'total_adjusted_duration': 0.4730173549795942, 'tempo_ratio': 1.58781172}}}",0008.wav
PAT,PA,CA,"{'mean_confidence': 0.980778694152832, 'min_confidence': 0.5471982359886169, 'max_confidence': 0.9999067783355713}","{'mean_confidence': 0.9660258293151855, 'min_confidence': 0.5342503190040588, 'max_confidence': 0.9999357461929321}",1.5,1.280125,1.0,1.0,"{'original_duration': 1.5, 'adjusted_duration': 1.280125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.8095625, 'total_adjusted_duration': 1.9610721984330786, 'tempo_ratio': 0.922741397}, 'pcl': {'count': 1, 'total_original_duration': 0.9111875, 'total_adjusted_duration': 0.6832922515853624, 'tempo_ratio': 1.333525293}, 'p': {'count': 1, 'total_original_duration': 0.332125, 'total_adjusted_duration': 0.24610666079872806, 'tempo_ratio': 1.349516502}, 'ae': {'count': 1, 'total_original_duration': 0.83875, 'total_adjusted_duration': 0.6696867950910229, 'tempo_ratio': 1.252451155}, 't': {'count': 1, 'total_original_duration': 0.2256875, 'total_adjusted_duration': 0.19126022577378657, 'tempo_ratio': 1.180002267}}}",0009.wav
FARM,FRIM,IN,"{'mean_confidence': 0.95197993516922, 'min_confidence': 0.3159136474132538, 'max_confidence': 0.9999433755874634}","{'mean_confidence': 0.9323533773422241, 'min_confidence': 0.34473717212677, 'max_confidence': 0.9998929500579834}",1.65,1.6069375,1.0,1.0,"{'original_duration': 1.65, 'adjusted_duration': 1.6069375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.9249375, 'total_adjusted_duration': 2.08610723032295, 'tempo_ratio': 0.922741397}, 'f': {'count': 1, 'total_original_duration': 0.946125, 'total_adjusted_duration': 0.7997599698122215, 'tempo_ratio': 1.183011198}, 'aa': {'count': 1, 'total_original_duration': 0.58075, 'total_adjusted_duration': 0.4487444609827266, 'tempo_ratio': 1.294166392}, 'r': {'count': 1, 'total_original_duration': 0.6323125, 'total_adjusted_duration': 0.5704031043214864, 'tempo_ratio': 1.108536218}, 'm': {'count': 1, 'total_original_duration': 0.4449375, 'total_adjusted_duration': 0.35981173005429934, 'tempo_ratio': 1.236584199}}}",0010.wav
SIP,SO,SO,"{'mean_confidence': 0.983445405960083, 'min_confidence': 0.6127821207046509, 'max_confidence': 0.9999912977218628}","{'mean_confidence': 0.9777116775512695, 'min_confidence': 0.533267617225647, 'max_confidence': 0.9999887943267822}",1.95,1.949375,1.0,1.0,"{'original_duration': 1.95, 'adjusted_duration': 1.949375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.3690625, 'total_adjusted_duration': 2.567417596850269, 'tempo_ratio': 0.922741397}, 's': {'count': 1, 'total_original_duration': 1.4115, 'total_adjusted_duration': 1.1640294590348867, 'tempo_ratio': 1.212598177}, 'ih': {'count': 1, 'total_original_duration': 0.608875, 'total_adjusted_duration': 0.49122497448165425, 'tempo_ratio': 1.239503347}, 'pcl': {'count': 1, 'total_original_duration': 0.631, 'total_adjusted_duration': 0.47318187612359, 'tempo_ratio': 1.333525293}, 'p': {'count': 1, 'total_original_duration': 0.332125, 'total_adjusted_duration': 0.24610666079872806, 'tempo_ratio': 1.349516502}}}",0012.wav
DAGGER,DAGU,DAGU,"{'mean_confidence': 0.9686082005500793, 'min_confidence': 0.5130674839019775, 'max_confidence': 0.9999681711196899}","{'mean_confidence': 0.9774389266967773, 'min_confidence': 0.682192325592041, 'max_confidence': 0.9999469518661499}",1.95,1.8965625,1.0,1.0,"{'original_duration': 1.95, 'adjusted_duration': 1.8965625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.4115, 'total_adjusted_duration': 1.5296810185270142, 'tempo_ratio': 0.922741397}, 'dcl': {'count': 1, 'total_original_duration': 1.821125, 'total_adjusted_duration': 1.7377434586219245, 'tempo_ratio': 1.047982653}, 'd': {'count': 1, 'total_original_duration': 0.19925, 'total_adjusted_duration': 0.16304960878740193, 'tempo_ratio': 1.222020718}, 'ae': {'count': 1, 'total_original_duration': 0.415125, 'total_adjusted_duration': 0.33145005163894, 'tempo_ratio': 1.252451155}, 'g': {'count': 1, 'total_original_duration': 0.548, 'total_adjusted_duration': 0.46957727272597966, 'tempo_ratio': 1.167007076}, 'er': {'count': 1, 'total_original_duration': 0.9575625, 'total_adjusted_duration': 0.7002700847698579, 'tempo_ratio': 1.36741883}}}",0014.wav
RAIN,REND,REN,"{'mean_confidence': 0.9637163877487183, 'min_confidence': 0.5704261064529419, 'max_confidence': 0.9998691082000732}","{'mean_confidence': 0.952135443687439, 'min_confidence': 0.4692212641239166, 'max_confidence': 0.9999041557312012}",1.95,1.8895,1.0,1.0,"{'original_duration': 1.95, 'adjusted_duration': 1.8895, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.762125, 'total_adjusted_duration': 2.9933901404880827, 'tempo_ratio': 0.922741397}, 'r': {'count': 1, 'total_original_duration': 0.5866875, 'total_adjusted_duration': 0.5292452248953042, 'tempo_ratio': 1.108536218}, 'ey': {'count': 1, 'total_original_duration': 0.58125, 'total_adjusted_duration': 0.5084315088699802, 'tempo_ratio': 1.14322183}, 'n': {'count': 1, 'total_original_duration': 1.4225, 'total_adjusted_duration': 1.1675769595958956, 'tempo_ratio': 1.218335107}}}",0015.wav
FAIR,HA,HA,"{'mean_confidence': 0.9291947484016418, 'min_confidence': 0.31076279282569885, 'max_confidence': 0.9999223947525024}","{'mean_confidence': 0.9326961040496826, 'min_confidence': 0.3457401990890503, 'max_confidence': 0.9999845027923584}",1.2,1.1111875,1.0,1.0,"{'original_duration': 1.2, 'adjusted_duration': 1.1111875, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.5839375, 'total_adjusted_duration': 1.716556236828291, 'tempo_ratio': 0.922741397}, 'f': {'count': 1, 'total_original_duration': 0.528, 'total_adjusted_duration': 0.44631868311359807, 'tempo_ratio': 1.183011198}, 'eh': {'count': 1, 'total_original_duration': 0.476875, 'total_adjusted_duration': 0.3670105681073085, 'tempo_ratio': 1.299349505}, 'r': {'count': 1, 'total_original_duration': 0.7050625, 'total_adjusted_duration': 0.6360301887763852, 'tempo_ratio': 1.108536218}}}",0016.wav
FEET,HUMK,INK,"{'mean_confidence': 0.9379130005836487, 'min_confidence': 0.36228248476982117, 'max_confidence': 0.9999160766601562}","{'mean_confidence': 0.9285120964050293, 'min_confidence': 0.35513365268707275, 'max_confidence': 0.9995334148406982}",1.2,0.9711875,1.0,1.0,"{'original_duration': 1.2, 'adjusted_duration': 0.9711875, 'phoneme_stats': {'f': {'count': 1, 'total_original_duration': 0.395125, 'total_adjusted_duration': 0.33399937436602356, 'tempo_ratio': 1.183011198}, 'iy': {'count': 1, 'total_original_duration': 1.2194375, 'total_adjusted_duration': 0.9653634707553554, 'tempo_ratio': 1.263190018}, 'tcl': {'count': 1, 'total_original_duration': 0.71875, 'total_adjusted_duration': 0.6565026027919121, 'tempo_ratio': 1.09481668}, 't': {'count': 1, 'total_original_duration': 0.3815, 'total_adjusted_duration': 0.32330446361761095, 'tempo_ratio': 1.180002267}, 'noi': {'count': 1, 'total_original_duration': 0.5790625, 'total_adjusted_duration': 0.6275458128167193, 'tempo_ratio': 0.922741397}}}",0017.wav
